Year,State,0_to_16,17_to_25,26_to_39,40_to_64,65_to_74,75_or_older,Total Accidents,Population,stateNames
2019,CT,0,0,1,3,1,1,6,427.4,Australian Capital Territory
2019,NS,9,61,68,122,39,54,353,8129.0,New South Wales
2019,NT,3,7,20,6,0,0,36,244.8,Northern Territory
2019,QL,14,55,50,62,14,24,219,5130.0,Queensland
2019,SA,4,22,24,33,12,19,114,1759.2,South Australia
2019,TS,0,7,5,9,2,6,29,537.0,Tasmania
2019,VI,10,53,53,79,22,49,266,6651.1,Victoria
2019,WA,7,33,35,58,15,15,163,2639.1,Western Australia
2020,CT,1,1,2,2,1,0,7,431.1,Australian Capital Territory
2020,NS,15,53,76,80,23,37,284,8164.1,New South Wales
2020,NT,2,10,9,7,2,1,31,246.0,Northern Territory
2020,QL,15,53,74,86,21,28,277,5174.4,Queensland
2020,SA,4,23,24,21,4,17,93,1769.3,South Australia
2020,TS,3,4,6,18,2,3,36,540.6,Tasmania
2020,VI,7,33,60,64,13,30,207,6694.9,Victoria
2020,WA,8,30,39,51,10,16,154,2661.9,Western Australia
2021,CT,0,3,0,2,1,3,9,453.3,Australian Capital Territory
2021,NS,14,32,38,67,27,25,203,8095.4,New South Wales
2021,NT,2,0,12,10,2,0,26,249.3,Northern Territory
2021,QL,10,40,66,61,13,17,207,5265.0,Queensland
2021,SA,4,17,8,24,10,9,72,1806.6,South Australia
2021,TS,2,5,4,12,3,3,29,569.8,Tasmania
2021,VI,9,27,37,54,17,28,172,6559.9,Victoria
2021,WA,9,28,24,39,9,14,123,2762.2,Western Australia
